Day,Temperature,Condition,Demand
1,104,Cloudy,1110
2,97,Cloudy,1127
3,43,Cloudy,861
4,50,Sunny,811
5,84,Sunny,914
6,75,Cloudy,957
7,72,Sunny,848
8,99,Sunny,964
9,58,Cloudy,958
10,106,Sunny,955
11,42,Sunny,786
12,40,Cloudy,893
13,85,Cloudy,986
14,103,Cloudy,1018
15,50,Cloudy,868
16,100,Cloudy,1025
17,45,Cloudy,903
18,47,Cloudy,883
19,54,Cloudy,865
20,96,Sunny,895
21,102,Cloudy,1029
22,53,Sunny,829
23,48,Cloudy,914
24,67,Sunny,916
25,73,Sunny,848
26,51,Cloudy,895
27,78,Sunny,906
28,107,Cloudy,1043
29,92,Sunny,947
30,47,Sunny,773
31,48,Sunny,823
32,44,Cloudy,901
33,44,Sunny,790
34,48,Cloudy,906
35,109,Cloudy,1035
36,65,Cloudy,954
37,55,Cloudy,961
38,59,Sunny,845
39,81,Cloudy,964
40,85,Sunny,991
41,61,Sunny,871
42,43,Cloudy,872
43,71,Sunny,876
44,55,Cloudy,909
45,84,Sunny,951
46,52,Cloudy,930
47,61,Sunny,855
48,97,Sunny,964
49,71,Sunny,877
50,89,Sunny,959
51,45,Sunny,816
52,52,Cloudy,884
53,64,Cloudy,1035
54,96,Sunny,1012
55,79,Cloudy,977
56,78,Sunny,871
57,69,Sunny,896
58,44,Cloudy,923
59,81,Sunny,904
60,82,Cloudy,1024
61,77,Sunny,880
62,57,Cloudy,941
63,93,Sunny,1002
64,78,Sunny,939
65,54,Cloudy,901
66,46,Sunny,801
67,78,Sunny,901
68,67,Sunny,893
69,79,Cloudy,953
70,47,Sunny,781
71,43,Sunny,782
72,89,Cloudy,1033
73,70,Sunny,913
74,91,Cloudy,1049
75,66,Cloudy,893
76,87,Sunny,896
77,80,Cloudy,1001
78,100,Sunny,916
79,59,Sunny,853
80,96,Sunny,962
81,94,Sunny,934
82,64,Sunny,898
83,64,Cloudy,954
84,107,Sunny,1053
85,58,Sunny,874
86,98,Sunny,929
87,76,Sunny,937
88,52,Sunny,848
89,52,Cloudy,908
90,82,Sunny,944
91,74,Sunny,882
92,68,Cloudy,936
93,64,Cloudy,921
94,100,Sunny,950
95,69,Sunny,888
96,76,Sunny,918
97,89,Sunny,954
98,66,Cloudy,958
99,63,Sunny,858
100,101,Sunny,976
