Day,Temperature,Condition,Demand
1,104,Cloudy,779
2,97,Cloudy,704
3,43,Cloudy,561
4,50,Sunny,677
5,84,Sunny,779
6,75,Cloudy,667
7,72,Sunny,736
8,99,Sunny,864
9,58,Cloudy,567
10,106,Sunny,865
11,42,Sunny,592
12,40,Cloudy,499
13,85,Cloudy,662
14,103,Cloudy,753
15,50,Cloudy,523
16,100,Cloudy,798
17,45,Cloudy,533
18,47,Cloudy,555
19,54,Cloudy,573
20,96,Sunny,862
21,102,Cloudy,797
22,53,Sunny,652
23,48,Cloudy,565
24,67,Sunny,737
25,73,Sunny,749
26,51,Cloudy,566
27,78,Sunny,758
28,107,Cloudy,775
29,92,Sunny,785
30,47,Sunny,634
31,48,Sunny,621
32,44,Cloudy,529
33,44,Sunny,621
34,48,Cloudy,517
35,109,Cloudy,794
36,65,Cloudy,589
37,55,Cloudy,587
38,59,Sunny,619
39,81,Cloudy,725
40,85,Sunny,725
41,61,Sunny,672
42,43,Cloudy,468
43,71,Sunny,732
44,55,Cloudy,580
45,84,Sunny,771
46,52,Cloudy,475
47,61,Sunny,676
48,97,Sunny,854
49,71,Sunny,736
50,89,Sunny,866
51,45,Sunny,616
52,52,Cloudy,590
53,64,Cloudy,571
54,96,Sunny,854
55,79,Cloudy,692
56,78,Sunny,735
57,69,Sunny,732
58,44,Cloudy,547
59,81,Sunny,702
60,82,Cloudy,672
61,77,Sunny,723
62,57,Cloudy,557
63,93,Sunny,793
64,78,Sunny,791
65,54,Cloudy,582
66,46,Sunny,600
67,78,Sunny,712
68,67,Sunny,727
69,79,Cloudy,671
70,47,Sunny,575
71,43,Sunny,620
72,89,Cloudy,704
73,70,Sunny,716
74,91,Cloudy,705
75,66,Cloudy,549
76,87,Sunny,839
77,80,Cloudy,698
78,100,Sunny,812
79,59,Sunny,675
80,96,Sunny,804
81,94,Sunny,807
82,64,Sunny,701
83,64,Cloudy,579
84,107,Sunny,860
85,58,Sunny,668
86,98,Sunny,857
87,76,Sunny,714
88,52,Sunny,636
89,52,Cloudy,622
90,82,Sunny,743
91,74,Sunny,751
92,68,Cloudy,609
93,64,Cloudy,585
94,100,Sunny,811
95,69,Sunny,731
96,76,Sunny,769
97,89,Sunny,794
98,66,Cloudy,550
99,63,Sunny,708
100,101,Sunny,866
